Employee,EducLev,JobGrade,YrsExper,Age,Gender,YrsPrior,PCJob,Salary
1,3,1,3,26,Male,1,No,"$32,000 "
2,1,1,14,38,Female,1,No,"$39,100 "
3,1,1,12,35,Female,0,No,"$33,200 "
4,2,1,8,40,Female,7,No,"$30,600 "
5,3,1,3,28,Male,0,No,"$29,000 "
6,3,1,3,24,Female,0,No,"$30,500 "
7,3,1,4,27,Female,0,No,"$30,000 "
8,3,1,8,33,Male,2,No,"$27,000 "
9,1,1,4,62,Female,0,No,"$34,000 "
10,3,1,9,31,Female,0,No,"$29,500 "
11,3,1,9,34,Female,2,No,"$26,800 "
12,2,1,8,37,Female,8,No,"$31,300 "
13,2,1,9,37,Female,0,No,"$31,200 "
14,2,1,10,58,Female,6,No,"$34,700 "
15,3,1,4,33,Female,0,No,"$30,000 "
16,3,1,3,27,Female,0,No,"$31,000 "
17,3,1,6,30,Female,0,No,"$27,000 "
18,2,1,8,37,Female,9,No,"$29,600 "
19,3,1,5,44,Female,6,No,"$32,600 "
20,2,1,4,29,Female,3,No,"$29,600 "
21,3,1,4,36,Female,2,No,"$29,500 "
22,2,1,3,28,Male,3,No,"$31,000 "
23,1,1,5,45,Female,0,No,"$28,500 "
24,2,1,3,33,Male,4,No,"$26,700 "
25,3,1,3,24,Male,1,No,"$30,750 "
26,3,1,3,27,Male,1,No,"$29,500 "
27,2,1,16,60,Female,6,No,"$42,200 "
28,1,1,13,48,Female,0,No,"$37,600 "
29,1,1,12,40,Female,6,No,"$34,000 "
30,2,1,4,33,Female,7,No,"$33,000 "
31,1,1,7,35,Female,4,No,"$28,760 "
32,1,1,11,44,Female,0,No,"$35,400 "
33,3,1,3,43,Male,8,No,"$31,000 "
34,2,1,18,46,Female,2,No,"$38,800 "
35,2,1,14,42,Female,0,No,"$34,300 "
36,1,1,19,47,Female,0,No,"$35,000 "
37,3,1,3,25,Female,2,Yes,"$34,600 "
38,2,1,2,30,Female,4,No,"$28,500 "
39,1,1,11,40,Female,0,No,"$29,500 "
40,3,1,3,26,Male,2,No,"$30,500 "
41,3,1,5,32,Female,1,No,"$34,200 "
42,1,1,15,51,Female,0,No,"$43,600 "
43,5,1,7,35,Female,0,Yes,"$33,500 "
44,3,1,12,37,Female,1,No,"$33,000 "
45,1,1,18,44,Female,0,No,"$45,300 "
46,1,1,17,53,Male,3,No,"$38,800 "
47,1,1,10,40,Female,0,No,"$29,900 "
48,3,1,5,51,Male,10,No,"$31,200 "
49,1,1,15,42,Female,0,No,"$34,000 "
50,2,1,2,53,Female,0,No,"$30,450 "
51,1,1,3,58,Male,3,No,"$35,500 "
52,1,1,4,44,Female,10,Yes,"$34,000 "
